,Log2 fold change,std error (log2),Lower confidence limit (log2),Upper confidence limit (log2),Linear fold change,Lower confidence limit (linear),Upper confidence limit (linear),P-value,BY.p.value,method,Gene.sets,probe.ID
MERTK-mRNA,0.483,0.231,0.031,0.936,1.4,1.02,1.91,0.0492,1,lm.nb,"Microglia Neurodegenerative Phenotype (MGnD), Primed Microglia",NM_006343.2:665
CTSB-mRNA,-0.315,0.151,-0.61,-0.0198,0.804,0.655,0.986,0.0495,1,lm.nb,"Apoptosis, Autophagy, Microglia Neurodegenerative Phenotype (MGnD), Primed Microglia, Stage 1 DAM",NM_147780.2:1054
DNAJA2-mRNA,-0.516,0.249,-1,-0.0282,0.699,0.499,0.981,0.0513,1,lm.nb,Proteotoxic Stress,NM_005880.3:370
DMD-mRNA,0.216,0.105,0.0106,0.42,1.16,1.01,1.34,0.0525,1,lm.nb,"Blood Brain Barrier, Cytoskeletal Dynamics, Neurogenesis",NM_004014.2:1334
ATP6V1E1-mRNA,-0.471,0.229,-0.92,-0.0222,0.721,0.529,0.985,0.053,1,lm.nb,"Ion Transport, Phagocytosis",NM_001696.4:580
KCNAB1-mRNA,-0.473,0.231,-0.926,-0.0207,0.72,0.526,0.986,0.0538,1,lm.nb,Ion Transport,NM_003471.3:520
ADORA1-mRNA,0.345,0.169,0.0144,0.676,1.27,1.01,1.6,0.0542,1,lm.nb,"Neuroactive Ligands and Receptors, Purinergic Signaling",NM_000674.1:1150
ADAM22-mRNA,-0.649,0.319,-1.27,-0.0236,0.638,0.414,0.984,0.0554,1,lm.nb,"Cytoskeletal Dynamics, Myelogenesis",NM_021723.3:2290
C4A/B-mRNA,1,0.494,0.0361,1.97,2,1.03,3.92,0.0555,1,lm.nb,"Astrocyte Markers, Complement System, Cytoskeletal Dynamics",NM_007293.2:1217
NUAK1-mRNA,-0.573,0.283,-1.13,-0.0184,0.672,0.458,0.987,0.0564,1,lm.nb,Primed Microglia,NM_014840.2:1914
SEC23A-mRNA,-0.372,0.184,-0.733,-0.0114,0.773,0.602,0.992,0.0567,1,lm.nb,"Antigen Processing and Presentation, Proteotoxic Stress",NM_006364.2:1204
EPB41L3-mRNA,-0.534,0.266,-1.06,-0.0129,0.691,0.481,0.991,0.0583,1,lm.nb,"Cytoskeletal Dynamics, Myelogenesis",NM_012307.3:726
CYP2U1-mRNA,0.265,0.132,0.00642,0.524,1.2,1,1.44,0.0583,1,lm.nb,Lipid Metabolism,NM_183075.3:602
INPP5F-mRNA,-0.591,0.294,-1.17,-0.0142,0.664,0.445,0.99,0.0583,1,lm.nb,"Cytoskeletal Dynamics, Neurogenesis",NM_001243194.1:1018
DCLK1-mRNA,-0.682,0.341,-1.35,-0.0136,0.623,0.392,0.991,0.0593,1,lm.nb,Neurogenesis,NM_004734.4:1571
F11R-mRNA,-0.542,0.272,-1.08,-0.00831,0.687,0.474,0.994,0.0604,1,lm.nb,"Cell Migration, Microglial Markers, Primed Microglia",NM_016946.5:749
TJP1-mRNA,0.355,0.18,0.00279,0.707,1.28,1,1.63,0.0622,1,lm.nb,"Gap Junctions, Primed Microglia",NM_175610.2:4065
TIMP2-mRNA,0.381,0.193,0.00179,0.76,1.3,1,1.69,0.0629,1,lm.nb,"Neurogenesis, Stage 2 DAM",NM_003255.4:397
CYBB-mRNA,0.546,0.278,0.000341,1.09,1.46,1,2.13,0.0639,1,lm.nb,"Angiogenesis, Antigen Processing and Presentation, Hypoxia, Microglia Neurodegenerative Phenotype (MGnD), Oxidative & Nitrosative Stress, Primed Microglia",NM_000397.3:1034
PPP2R2B-mRNA,-0.322,0.164,-0.645,6.48E-05,0.8,0.64,1,0.0641,1,lm.nb,Dopaminergic Synapse,NM_181676.2:690
DYNC1LI1-mRNA,-0.449,0.23,-0.899,0.000792,0.732,0.536,1,0.0645,1,lm.nb,Antigen Processing and Presentation,NM_016141.3:1338
C1QC-mRNA,0.879,0.45,-0.00322,1.76,1.84,0.998,3.39,0.065,1,lm.nb,Complement System,NM_001114101.1:608
SEC61A2-mRNA,-0.358,0.183,-0.717,0.00149,0.78,0.609,1,0.0651,1,lm.nb,"Antigen Processing and Presentation, Proteotoxic Stress",NM_001142627.1:768
BRAF-mRNA,-0.183,0.0948,-0.369,0.00264,0.881,0.774,1,0.0676,1,lm.nb,MAPK & PI3K,NM_004333.3:565
RAB3A-mRNA,-0.694,0.36,-1.4,0.0108,0.618,0.379,1.01,0.0679,1,lm.nb,"GABAergic Synapse, Glutamatergic Synapse",NM_002866.4:177
PTK2B-mRNA,-0.548,0.286,-1.11,0.0133,0.684,0.464,1.01,0.0701,1,lm.nb,"Calcium Signaling, Cytoskeletal Dynamics, NO Metabolism and Signaling",NM_004103.3:735
ABCE1-mRNA,-0.241,0.126,-0.489,0.00615,0.846,0.713,1,0.0704,1,lm.nb,Interferon Signaling,NM_001040876.1:635
TNFRSF21-mRNA,-0.303,0.159,-0.615,0.0094,0.811,0.653,1.01,0.0718,1,lm.nb,"Cytokines, Oligodendrocyte DifferentiationMaturation",NM_014452.3:735
ATP6V1C1-mRNA,-0.465,0.247,-0.949,0.0188,0.725,0.518,1.01,0.0742,1,lm.nb,"Ion Transport, Phagocytosis, Primed Microglia",NM_001007254.1:800
TMEM47-mRNA,0.455,0.242,-0.0188,0.93,1.37,0.987,1.9,0.0744,1,lm.nb,Astrocyte Markers,NM_031442.4:700
IMMT-mRNA,-0.496,0.265,-1.01,0.0221,0.709,0.495,1.02,0.0752,1,lm.nb,Glucose Metabolism,NM_006839.2:2258
PGK1-mRNA,-0.354,0.19,-0.726,0.0177,0.782,0.604,1.01,0.0767,1,lm.nb,Glucose Metabolism,NM_000291.2:1030
TUSC3-mRNA,-0.567,0.305,-1.17,0.0307,0.675,0.446,1.02,0.0777,1,lm.nb,Proteotoxic Stress,NM_006765.2:1015
ATP1B1-mRNA,-0.623,0.338,-1.29,0.0398,0.649,0.41,1.03,0.0803,1,lm.nb,Ion Transport,NM_001677.3:190
GOT1-mRNA,-0.722,0.394,-1.5,0.0506,0.606,0.355,1.04,0.082,1,lm.nb,Glutamatergic Synapse,NM_002079.2:615
VDAC3-mRNA,-0.512,0.28,-1.06,0.0373,0.701,0.479,1.03,0.0827,1,lm.nb,Calcium Signaling,NM_001135694.2:870
IFNGR2-mRNA,-0.213,0.116,-0.441,0.0157,0.863,0.737,1.01,0.0829,1,lm.nb,Interferon Signaling,NM_005534.3:799
HILPDA-mRNA,-1.05,0.578,-2.19,0.0782,0.482,0.22,1.06,0.083,1,lm.nb,Astrocyte Markers,NM_013332.1:345
GABARAPL1-mRNA,-0.324,0.178,-0.672,0.0241,0.799,0.628,1.02,0.0831,1,lm.nb,"Autophagy, GABAergic Synapse",NM_031412.2:420
MAL2-mRNA,-0.582,0.32,-1.21,0.0457,0.668,0.432,1.03,0.0842,1,lm.nb,Myelogenesis,NM_052886.2:203
GNG2-mRNA,-0.566,0.313,-1.18,0.0471,0.675,0.441,1.03,0.0854,1,lm.nb,"Cannabinoid Signaling, Cholinergic Synapse, Dopaminergic Synapse, GABAergic Synapse, Glutamatergic Synapse, Primed Microglia, Serotonergic Synapse",NM_053064.5:396
ATP6V1B2-mRNA,-0.495,0.274,-1.03,0.043,0.71,0.489,1.03,0.0864,1,lm.nb,"Ion Transport, Phagocytosis, Primed Microglia",NM_001693.3:405
GABRG2-mRNA,-0.703,0.391,-1.47,0.0626,0.614,0.361,1.04,0.087,1,lm.nb,"Cannabinoid Signaling, GABAergic Synapse, Neuroactive Ligands and Receptors",NM_000816.3:872
GAD1-mRNA,-0.375,0.209,-0.786,0.0352,0.771,0.58,1.02,0.0883,1,lm.nb,GABAergic Synapse,NM_000817.2:575
PMP22-mRNA,0.371,0.208,-0.037,0.778,1.29,0.975,1.71,0.09,1,lm.nb,Myelogenesis,NM_000304.3:417
ELMO1-mRNA,-0.501,0.281,-1.05,0.0501,0.707,0.482,1.04,0.09,1,lm.nb,"Angiogenesis, Primed Microglia",NM_014800.10:2226
SOX2-mRNA,0.347,0.195,-0.0358,0.73,1.27,0.975,1.66,0.0908,1,lm.nb,Neurogenesis,NM_003106.3:1043
ARG2-mRNA,0.401,0.227,-0.0444,0.846,1.32,0.97,1.8,0.0929,1,lm.nb,NO Metabolism and Signaling,NM_001172.3:512
NSF-mRNA,-0.688,0.394,-1.46,0.0836,0.621,0.364,1.06,0.0959,1,lm.nb,GABAergic Synapse,NM_006178.3:1762
NMNAT2-mRNA,-0.562,0.323,-1.19,0.0698,0.677,0.437,1.05,0.0966,1,lm.nb,Cytoskeletal Dynamics,NM_170706.3:605
NPTN-mRNA,-0.382,0.22,-0.813,0.0483,0.767,0.569,1.03,0.0972,1,lm.nb,"Cytoskeletal Dynamics, Neurogenesis",NM_001161363.1:1022
GAS6-mRNA,0.266,0.154,-0.0352,0.567,1.2,0.976,1.48,0.0988,1,lm.nb,Neurogenesis,NM_000820.2:1339
DIAPH1-mRNA,-0.377,0.218,-0.805,0.0504,0.77,0.572,1.04,0.0992,1,lm.nb,Cell Migration,NM_005219.4:1398
HSPA9-mRNA,-0.196,0.114,-0.419,0.0266,0.873,0.748,1.02,0.0998,1,lm.nb,Primed Microglia,NM_004134.4:975
SERPINE2-mRNA,-0.411,0.238,-0.877,0.0559,0.752,0.544,1.04,0.0999,1,lm.nb,"Microglial Markers, Neurogenesis",NM_006216.2:240
BECN1-mRNA,-0.203,0.118,-0.435,0.0285,0.869,0.74,1.02,0.101,1,lm.nb,Autophagy,NM_003766.2:810
GABRA4-mRNA,-0.395,0.23,-0.846,0.0559,0.76,0.556,1.04,0.101,1,lm.nb,"Cannabinoid Signaling, GABAergic Synapse, Neuroactive Ligands and Receptors",NM_000809.2:1545
CD200-mRNA,-0.531,0.314,-1.15,0.085,0.692,0.452,1.06,0.107,1,lm.nb,Cytoskeletal Dynamics,NM_005944.5:665
RIMS1-mRNA,-0.58,0.346,-1.26,0.0968,0.669,0.418,1.07,0.109,1,lm.nb,"Cannabinoid Signaling, Cholinergic Synapse, Dopaminergic Synapse, GABAergic Synapse, Glutamatergic Synapse",NM_001168410.1:2305
NPAS2-mRNA,-0.262,0.157,-0.569,0.0452,0.834,0.674,1.03,0.11,1,lm.nb,Circadian Signaling,NM_002518.3:1458
ETV5-mRNA,-0.437,0.262,-0.951,0.0757,0.738,0.517,1.05,0.11,1,lm.nb,Neurogenesis,NM_004454.2:1685
NAP1L2-mRNA,-0.783,0.469,-1.7,0.137,0.581,0.307,1.1,0.111,1,lm.nb,Neurogenesis,NM_021963.4:908
REEP5-mRNA,-0.251,0.151,-0.547,0.0444,0.84,0.685,1.03,0.111,1,lm.nb,Primed Microglia,NM_005669.4:280
MAPK1-mRNA,-0.225,0.136,-0.491,0.0422,0.856,0.711,1.03,0.115,1,lm.nb,MAPK & PI3K,NM_138957.2:430
ENTPD1-mRNA,0.31,0.188,-0.0585,0.679,1.24,0.96,1.6,0.115,1,lm.nb,Purinergic Signaling,NM_001098175.1:795
UBE3C-mRNA,-0.169,0.103,-0.37,0.0328,0.89,0.774,1.02,0.116,1,lm.nb,Antigen Processing and Presentation,NM_014671.2:1222
RTN1-mRNA,-0.523,0.32,-1.15,0.104,0.696,0.451,1.07,0.117,1,lm.nb,Neurogenesis,NM_021136.2:2400
ATP1A1-mRNA,-0.523,0.32,-1.15,0.104,0.696,0.451,1.07,0.118,1,lm.nb,"Ion Transport, Primed Microglia",NM_000701.7:1550
SLC17A6-mRNA,-0.726,0.445,-1.6,0.146,0.604,0.33,1.11,0.118,1,lm.nb,"Cannabinoid Signaling, Glutamatergic Synapse",NM_020346.2:1555
ATP8A2-mRNA,-0.47,0.288,-1.04,0.095,0.722,0.488,1.07,0.119,1,lm.nb,"Microglial Markers, Neurogenesis, Primed Microglia",NM_016529.4:930
SLC38A1-mRNA,-0.416,0.255,-0.916,0.085,0.75,0.53,1.06,0.119,1,lm.nb,"GABAergic Synapse, Glutamatergic Synapse",NM_001077484.1:1766
MAPK8-mRNA,-0.283,0.174,-0.625,0.0589,0.822,0.649,1.04,0.12,1,lm.nb,MAPK & PI3K,NM_002750.2:945
GLRA3-mRNA,-0.419,0.259,-0.927,0.0881,0.748,0.526,1.06,0.121,1,lm.nb,Neuroactive Ligands and Receptors,NM_006529.3:492
RORB-mRNA,-0.433,0.269,-0.96,0.0935,0.741,0.514,1.07,0.123,1,lm.nb,"Circadian Signaling, Neurogenesis",NM_006914.3:1840
GMPR2-mRNA,-0.239,0.148,-0.53,0.0519,0.847,0.693,1.04,0.123,1,lm.nb,Primed Microglia,NM_001002001.2:392
CST3-mRNA,-0.49,0.305,-1.09,0.107,0.712,0.471,1.08,0.123,1,lm.nb,Homeostatic Microglia,NM_000099.2:402
PSMB8-mRNA,-0.498,0.312,-1.11,0.113,0.708,0.463,1.08,0.126,1,lm.nb,"A1 Astrocyte, Antigen Processing and Presentation, Interferon Signaling, Primed Microglia",NM_004159.4:1215
RECK-mRNA,0.182,0.114,-0.0418,0.406,1.13,0.971,1.33,0.127,1,lm.nb,Blood Brain Barrier,NM_021111.2:360
ATR-mRNA,-0.335,0.21,-0.747,0.0775,0.793,0.596,1.06,0.127,1,lm.nb,Cell Cycle,NM_001184.2:565
GPNMB-mRNA,0.63,0.399,-0.152,1.41,1.55,0.9,2.66,0.13,1,lm.nb,"Microglia Neurodegenerative Phenotype (MGnD), Primed Microglia",NM_001005340.1:535
NCAM2-mRNA,0.269,0.17,-0.065,0.602,1.2,0.956,1.52,0.13,1,lm.nb,"Cell Migration, Neurogenesis",NM_004540.4:1364
ATP2A2-mRNA,-0.189,0.12,-0.425,0.0467,0.877,0.745,1.03,0.132,1,lm.nb,"Calcium Signaling, Ion Transport",NM_001681.3:1396
EID1-mRNA,-0.247,0.157,-0.555,0.0615,0.843,0.681,1.04,0.132,1,lm.nb,Primed Microglia,NM_014335.3:413
WASF1-mRNA,-0.618,0.394,-1.39,0.154,0.652,0.381,1.11,0.132,1,lm.nb,"Angiogenesis, Phagocytosis",NM_001024934.1:1425
MBP-mRNA,0.701,0.449,-0.179,1.58,1.63,0.884,2.99,0.134,1,lm.nb,"Myelogenesis, Oligodendrocyte Markers",NM_002385.2:132
ATP5F1B-mRNA,-0.391,0.252,-0.885,0.102,0.763,0.542,1.07,0.136,1,lm.nb,Glucose Metabolism,NM_001686.3:645
SLC9A6-mRNA,-0.558,0.361,-1.27,0.149,0.679,0.416,1.11,0.138,1,lm.nb,Neurogenesis,NM_001042537.1:370
CD47-mRNA,-0.371,0.242,-0.845,0.103,0.773,0.557,1.07,0.141,1,lm.nb,NO Metabolism and Signaling,NM_001777.3:897
NDUFA10-mRNA,-0.205,0.134,-0.467,0.0575,0.868,0.724,1.04,0.142,1,lm.nb,Cannabinoid Signaling,NM_004544.3:876
ACOT13-mRNA,0.137,0.0899,-0.0389,0.314,1.1,0.973,1.24,0.142,1,lm.nb,Lipid Metabolism,NM_018473.2:400
CACNA2D3-mRNA,0.326,0.214,-0.0942,0.746,1.25,0.937,1.68,0.144,1,lm.nb,"Calcium Signaling, Ion Transport",NM_018398.2:205
ATG5-mRNA,-0.394,0.259,-0.903,0.114,0.761,0.535,1.08,0.144,1,lm.nb,Autophagy,NM_004849.2:1104
HSP90AB1-mRNA,-0.252,0.168,-0.581,0.0769,0.84,0.668,1.05,0.149,1,lm.nb,"Cytoskeletal Dynamics, Inflammasome, Proteotoxic Stress",NM_007355.3:1530
FIG4-mRNA,-0.207,0.138,-0.478,0.0634,0.866,0.718,1.04,0.149,1,lm.nb,"Myelogenesis, Neurogenesis",NM_014845.5:1060
GABRD-mRNA,-0.492,0.328,-1.13,0.151,0.711,0.455,1.11,0.15,1,lm.nb,"Cannabinoid Signaling, GABAergic Synapse, Neuroactive Ligands and Receptors",NM_000815.4:800
FBXL3-mRNA,0.186,0.125,-0.0588,0.431,1.14,0.96,1.35,0.152,1,lm.nb,"Antigen Processing and Presentation, Circadian Signaling",NM_012158.2:1565
DNAJC11-mRNA,-0.159,0.107,-0.368,0.0505,0.896,0.775,1.04,0.153,1,lm.nb,Glucose Metabolism,NM_018198.3:474
NF1-mRNA,-0.201,0.135,-0.466,0.0642,0.87,0.724,1.05,0.153,1,lm.nb,"Astrocyte DifferentiationFunction, MAPK & PI3K, Neurogenesis, Oligodendrocyte DifferentiationMaturation",NM_000267.2:1035
GRIK2-mRNA,-0.464,0.313,-1.08,0.149,0.725,0.474,1.11,0.154,1,lm.nb,"Glutamatergic Synapse, Neuroactive Ligands and Receptors",NM_021956.4:1329
CEP68-mRNA,-0.171,0.115,-0.397,0.0554,0.888,0.759,1.04,0.154,1,lm.nb,Primed Microglia,NM_015147.2:586
ASS1-mRNA,-0.369,0.25,-0.86,0.122,0.774,0.551,1.09,0.156,1,lm.nb,NO Metabolism and Signaling,NM_000050.4:1275
NKIRAS1-mRNA,-0.265,0.18,-0.618,0.0881,0.832,0.652,1.06,0.157,1,lm.nb,Cytokines,NM_020345.3:785
NEFL-mRNA,-0.635,0.433,-1.48,0.213,0.644,0.358,1.16,0.158,1,lm.nb,"Cytoskeletal Dynamics, Neurogenesis, Neuronal Markers",NM_006158.3:1112
FCGR3A/B-mRNA,0.535,0.365,-0.181,1.25,1.45,0.882,2.38,0.158,1,lm.nb,Phagocytosis,NM_000570.4:696
SCP2-mRNA,0.199,0.137,-0.0684,0.467,1.15,0.954,1.38,0.16,1,lm.nb,Lipid Metabolism,NM_001007100.2:405
GNG3-mRNA,-0.465,0.319,-1.09,0.16,0.724,0.47,1.12,0.161,1,lm.nb,"Cannabinoid Signaling, Cholinergic Synapse, Dopaminergic Synapse, GABAergic Synapse, Glutamatergic Synapse, Serotonergic Synapse",NM_012202.5:296
PARP2-mRNA,-0.288,0.198,-0.676,0.0995,0.819,0.626,1.07,0.161,1,lm.nb,Apoptosis,NM_005484.3:1154
PRKAB1-mRNA,-0.253,0.173,-0.593,0.0873,0.839,0.663,1.06,0.161,1,lm.nb,"Glucose Metabolism, Primed Microglia",NM_006253.4:471
RHOB-mRNA,0.441,0.305,-0.156,1.04,1.36,0.897,2.05,0.163,1,lm.nb,"Microglial Markers, Primed Microglia",NM_004040.2:870
RNF10-mRNA,-0.125,0.0861,-0.293,0.0443,0.917,0.816,1.03,0.164,1,lm.nb,"Myelogenesis, Neurogenesis",NM_014868.3:1910
RAD23B-mRNA,-0.154,0.107,-0.363,0.055,0.899,0.777,1.04,0.164,1,lm.nb,Proteotoxic Stress,NM_001244713.1:590
PIAS1-mRNA,0.137,0.0948,-0.049,0.323,1.1,0.967,1.25,0.164,1,lm.nb,"Interferon Signaling, JAK-STAT",NM_016166.1:1870
FTH1-mRNA,0.194,0.135,-0.0711,0.459,1.14,0.952,1.37,0.167,1,lm.nb,"Microglia Neurodegenerative Phenotype (MGnD), Stage 1 DAM",NM_002032.2:392
B4GALT6-mRNA,-0.438,0.306,-1.04,0.162,0.738,0.487,1.12,0.168,1,lm.nb,"Myelogenesis, Oligodendrocyte DifferentiationMaturation",NM_004775.3:930
HADH-mRNA,0.153,0.107,-0.0565,0.362,1.11,0.962,1.29,0.168,1,lm.nb,Lipid Metabolism,NM_001184705.2:645
TARDBP-mRNA,0.149,0.105,-0.0561,0.354,1.11,0.962,1.28,0.17,1,lm.nb,Proteotoxic Stress,NM_007375.3:476
CNTNAP2-mRNA,-0.553,0.39,-1.32,0.211,0.681,0.401,1.16,0.172,1,lm.nb,"Cell Migration, Cytoskeletal Dynamics, Myelogenesis",NM_014141.4:940
AKT1-mRNA,0.27,0.191,-0.104,0.643,1.21,0.93,1.56,0.173,1,lm.nb,MAPK & PI3K,NM_001014432.1:1275
DDAH1-mRNA,-0.247,0.176,-0.593,0.0989,0.843,0.663,1.07,0.177,1,lm.nb,NO Metabolism and Signaling,NM_012137.2:620
LTA4H-mRNA,-0.2,0.145,-0.485,0.084,0.87,0.715,1.06,0.183,1,lm.nb,Lipid Metabolism,NM_001256643.1:1140
YWHAH-mRNA,-0.582,0.427,-1.42,0.254,0.668,0.374,1.19,0.188,1,lm.nb,"Cell Cycle, Neurogenesis",NM_003405.3:552
CYFIP2-mRNA,-0.255,0.187,-0.622,0.112,0.838,0.65,1.08,0.188,1,lm.nb,"Angiogenesis, Neurogenesis",NM_001037333.1:2142
SYNGR1-mRNA,-0.239,0.178,-0.589,0.11,0.847,0.665,1.08,0.194,1,lm.nb,Neurogenesis,NM_145731.3:296
ATG2B-mRNA,0.14,0.105,-0.0648,0.345,1.1,0.956,1.27,0.195,1,lm.nb,Autophagy,NM_018036.5:1722
CHRNB2-mRNA,-0.46,0.344,-1.13,0.214,0.727,0.455,1.16,0.196,1,lm.nb,"Cholinergic Synapse, Neuroactive Ligands and Receptors",NM_000748.3:510
OLFM3-mRNA,-0.587,0.439,-1.45,0.274,0.666,0.366,1.21,0.196,1,lm.nb,Neurogenesis,NM_058170.3:1154
KLHL12-mRNA,-0.149,0.112,-0.369,0.0702,0.902,0.774,1.05,0.197,1,lm.nb,Wnt Signaling,NM_021633.2:474
CD44-mRNA,-1.02,0.768,-2.53,0.481,0.492,0.173,1.4,0.198,1,lm.nb,"Astrocyte Markers, Interferon Signaling, Primed Microglia",NM_001001392.1:429
TLN2-mRNA,-0.34,0.255,-0.839,0.16,0.79,0.559,1.12,0.198,1,lm.nb,Cell Migration,NM_015059.2:640
PROS1-mRNA,-0.39,0.293,-0.965,0.185,0.763,0.512,1.14,0.198,1,lm.nb,Complement System,NM_000313.1:875
APP-mRNA,-0.223,0.168,-0.551,0.106,0.857,0.682,1.08,0.199,1,lm.nb,"Astrocyte DifferentiationFunction, Cytoskeletal Dynamics, Neurogenesis, Serotonergic Synapse",NM_000484.3:1725
SNAP25-mRNA,-0.52,0.393,-1.29,0.25,0.697,0.409,1.19,0.2,1,lm.nb,"Cholinergic Synapse, Dopaminergic Synapse, GABAergic Synapse, Glutamatergic Synapse, Serotonergic Synapse",NM_003081.3:284
C9orf72-mRNA,-0.308,0.233,-0.765,0.149,0.808,0.588,1.11,0.201,1,lm.nb,"Autophagy, Cytoskeletal Dynamics",NM_145005.6:242
SKP1-mRNA,-0.146,0.111,-0.363,0.0709,0.904,0.777,1.05,0.202,1,lm.nb,"Cell Cycle, Circadian Signaling, Proteotoxic Stress, Wnt Signaling",NM_006930.3:318
SOD1-mRNA,0.174,0.132,-0.0847,0.433,1.13,0.943,1.35,0.202,1,lm.nb,"Myelogenesis, Neurogenesis, Oxidative & Nitrosative Stress",NM_000454.4:245
PFKP-mRNA,0.221,0.168,-0.108,0.551,1.17,0.928,1.46,0.203,1,lm.nb,"Astrocyte Markers, Glucose Metabolism",NM_002627.3:795
NLK-mRNA,-0.268,0.205,-0.67,0.133,0.83,0.629,1.1,0.205,1,lm.nb,Wnt Signaling,NM_016231.4:618
RAB6B-mRNA,-0.298,0.227,-0.743,0.148,0.814,0.597,1.11,0.205,1,lm.nb,Primed Microglia,NM_016577.3:620
CTSF-mRNA,0.121,0.0931,-0.0615,0.303,1.09,0.958,1.23,0.209,1,lm.nb,"Apoptosis, Microglial Markers",NM_003793.3:655
GABRB3-mRNA,-0.379,0.292,-0.95,0.193,0.769,0.518,1.14,0.209,1,lm.nb,"Cannabinoid Signaling, GABAergic Synapse, Neuroactive Ligands and Receptors, Serotonergic Synapse",NM_000814.5:448
AHCYL1-mRNA,-0.344,0.265,-0.863,0.175,0.788,0.55,1.13,0.209,1,lm.nb,"Angiogenesis, Astrocyte Markers",NM_001242674.1:1103
CX3CR1-mRNA,0.561,0.434,-0.29,1.41,1.47,0.818,2.66,0.211,1,lm.nb,"Chemokines, Homeostatic Microglia, Microglia Neurodegenerative Phenotype (MGnD), Microglial Markers, Primed Microglia, Stage 1 DAM",NM_001337.3:1040
BACE1-mRNA,-0.222,0.172,-0.56,0.116,0.858,0.678,1.08,0.213,1,lm.nb,Cytoskeletal Dynamics,NM_012104.4:1185
ATP9A-mRNA,-0.103,0.0807,-0.262,0.0549,0.931,0.834,1.04,0.215,1,lm.nb,Ion Transport,NM_006045.1:1200
DNM1L-mRNA,-0.231,0.181,-0.586,0.124,0.852,0.666,1.09,0.217,1,lm.nb,"Apoptosis, Neurogenesis",NM_001278463.1:1396
HAMP-mRNA,-1.05,0.832,-2.68,0.578,0.482,0.156,1.49,0.221,1,Wald,"Microglial Markers, TGF-Beta Signaling",NM_021175.2:99
CCNB1-mRNA,0.223,0.177,-0.124,0.569,1.17,0.918,1.48,0.223,1,lm.nb,Cell Cycle,NM_031966.3:1102
TGFBR1-mRNA,0.289,0.23,-0.163,0.74,1.22,0.893,1.67,0.225,1,lm.nb,"Microglia Neurodegenerative Phenotype (MGnD), Microglial Markers, Primed Microglia, TGF-Beta Signaling",NM_004612.2:1255
C1S-mRNA,-0.429,0.343,-1.1,0.243,0.743,0.466,1.18,0.225,1,lm.nb,Complement System,NM_001734.2:775
SCN8A-mRNA,-0.419,0.337,-1.08,0.241,0.748,0.473,1.18,0.228,1,lm.nb,"Ion Transport, Myelogenesis",NM_014191.2:945
GRM1-mRNA,0.372,0.299,-0.214,0.958,1.29,0.862,1.94,0.228,1,lm.nb,"Calcium Signaling, Cannabinoid Signaling, Glutamatergic Synapse, Neuroactive Ligands and Receptors",NM_000838.3:2055
MAP3K4-mRNA,-0.28,0.226,-0.723,0.162,0.823,0.606,1.12,0.229,1,lm.nb,MAPK & PI3K,NM_005922.2:1165
LPAR6-mRNA,0.349,0.282,-0.204,0.902,1.27,0.868,1.87,0.231,1,lm.nb,"Neuroactive Ligands and Receptors, Purinergic Signaling",NM_005767.3:1210
SYT4-mRNA,-0.512,0.416,-1.33,0.303,0.701,0.399,1.23,0.233,1,lm.nb,"Cytoskeletal Dynamics, Neurogenesis",NM_020783.3:1202
ORC3-mRNA,-0.232,0.189,-0.602,0.139,0.852,0.659,1.1,0.235,1,lm.nb,Cell Cycle,NM_181837.1:585
SUMO1-mRNA,-0.216,0.177,-0.563,0.131,0.861,0.677,1.09,0.236,1,lm.nb,Interferon Signaling,NM_003352.8:348
KITLG-mRNA,-0.247,0.203,-0.645,0.151,0.843,0.639,1.11,0.238,1,lm.nb,MAPK & PI3K,NM_003994.5:232
PPP3R1-mRNA,-0.391,0.322,-1.02,0.241,0.763,0.492,1.18,0.239,1,lm.nb,"Calcium Signaling, MAPK & PI3K",NM_000945.3:394
AP3M2-mRNA,-0.201,0.166,-0.526,0.125,0.87,0.694,1.09,0.241,1,lm.nb,Primed Microglia,NM_001134296.1:655
TPI1-mRNA,-0.215,0.18,-0.569,0.138,0.861,0.674,1.1,0.246,1,lm.nb,"Glucose Metabolism, Primed Microglia",NM_000365.5:153
FCGR1A/B-mRNA,0.451,0.379,-0.292,1.19,1.37,0.817,2.29,0.248,1,lm.nb,"Antigen Processing and Presentation, Cytokines, Interferon Signaling, Phagocytosis",NM_000566.3:842
ORC4-mRNA,-0.266,0.224,-0.706,0.174,0.832,0.613,1.13,0.25,1,lm.nb,Cell Cycle,NM_181742.1:871
S100A12-mRNA,0.677,0.573,-0.447,1.8,1.6,0.734,3.48,0.252,1,Wald,Cytokines,NM_005621.1:260
C1R-mRNA,-0.519,0.442,-1.39,0.347,0.698,0.383,1.27,0.254,1,lm.nb,Complement System,NM_001733.4:760
ADAR-mRNA,-0.0901,0.0767,-0.24,0.0603,0.939,0.846,1.04,0.254,1,lm.nb,Interferon Signaling,NM_001025107.1:3530
CTNNB1-mRNA,-0.134,0.114,-0.358,0.0907,0.912,0.78,1.06,0.257,1,lm.nb,Wnt Signaling,NM_001098210.1:1815
SLC7A8-mRNA,-0.313,0.27,-0.841,0.215,0.805,0.558,1.16,0.259,1,lm.nb,Ion Transport,NM_001267036.1:1172
